Reaction ID;Reaction class;
2673332;DA;
4669847;DA;
31412513;DA;
9183897;DA;
8691076;DA;
35092758;DA;
31412514;DA;
31412516;DA;
31412505;DA;
37872347;DA;
35114821;DA;
2006388;DA;
31412506;DA;
31412517;DA;
37109981;DA;
2675160;DA;
1741754;DA;
9730277;DA;
42646332;DA;
41294714;DA;
42526792;DA;
25968583;DA;
35114822;DA;
2892730;DA;
11279760;DA;
9520405;DA;
2672456;DA;
5051716;DA;
36133235;DA;
36133237;DA;
36133238;DA;
1805229;DA;
29046665;DA;
36133240;DA;
41015619;DA;
29888768;DA;
3953843;DA;
36133239;DA;
1860842;DA;
9819355;DA;
29046639;DA;
5221452;DA;
36133234;DA;
9734927;DA;
39716200;DA;
8886257;DA;
1722663;DA;
1746151;DA;
42526801;DA;
5192776;DA;
42526881;DA;
25976529;DA;
9802034;DA;
40462633;DA;
8566298;DA;
2107642;DA;
2055495;DA;
9058777;DA;
3791369;DA;
2503419;DA;
8691073;DA;
4731193;DA;
10213077;DA;
1709822;DA;
40259237;DA;
9184487;DA;
8609702;DA;
2223043;DA;
5196599;DA;
2891522;DA;
2290719;DA;
38675298;DA;
9256468;DA;
9183753;DA;
9342262;DA;
9197443;DA;
39706875;DA;
1539307;DA;
5061253;DA;
2891051;DA;
5061254;DA;
25756592;DA;
628186;DA;
40781667;DA;
42469894;DA;
8800938;DA;
29008918;DA;
3793577;DA;
8638243;DA;
3791107;DA;
4679531;DA;
8886258;DA;
3736712;DA;
28404507;DA;
31620977;DA;
42527232;DA;
28253723;DA;
37761371;DA;
28253725;DA;
2891692;DA;
31620988;DA;
1695757;DA;
29501470;DA;
1539211;DA;
8694604;DA;
2890671;DA;
1216466;DA;
2783634;DA;
8813332;DA;
36242;DA;
38564048;DA;
9062542;DA;
29501471;DA;
29654479;DA;
29212804;DA;
29505186;DA;
1216508;DA;
1216445;DA;
8827860;DA;
1792656;DA;
28337902;DA;
9669133;DA;
42527241;DA;
5213309;DA;
8764725;DA;
715300;DA;
5059341;DA;
39014152;DA;
36133241;DA;
41320650;DA;
2674125;DA;
11069711;DA;
1496486;DA;
29501476;DA;
3790967;DA;
8763824;DA;
2783638;DA;
11041408;DA;
10037408;DA;
10050984;DA;
39014147;DA;
3824366;DA;
5059342;DA;
5061280;DA;
44431878;DA;
2035112;DA;
32987854;DA;
3791285;DA;
29905923;DA;
29501464;DA;
8617078;DA;
1792387;DA;
28404501;DA;
8666107;DA;
11128281;DA;
36291481;DA;
46601170;DA;
42527064;DA;
36067495;DA;
5063161;DA;
10108514;DA;
42526787;DA;
2513583;DA;
2127652;DA;
10488801;DA;
40370288;DA;
3791284;DA;
5278558;DA;
1405436;DA;
3737129;DA;
1216487;DA;
2783712;DA;
1921367;DA;
3736806;DA;
1792561;DA;
42526766;DA;
29576465;DA;
42526768;DA;
5053099;DA;
42526783;DA;
36067494;DA;
42526785;DA;
36133242;DA;
9029932;DA;
2890778;DA;
3791286;DA;
34232002;DA;
2891693;DA;
43329354;DA;
2674550;DA;
1731703;DA;
31385170;DA;
36067543;DA;
42527077;DA;
9776544;DA;
5053100;DA;
42527093;DA;
10111818;DA;
10424354;DA;
39014157;DA;
29828164;DA;
41320648;DA;
9237310;DA;
2015520;DA;
2783714;DA;
10133804;DA;
37961077;DA;
42527097;DA;
36067545;DA;
30633622;DA;
37079064;DA;
36067535;DA;
36067544;DA;
36067546;DA;
36067534;DA;
2127654;DA;
35800784;DA;
3736807;DA;
31385168;DA;
42199921;DA;
9953396;DA;
35057484;DA;
1216452;DA;
10494575;DA;
44153715;DA;
45132199;DA;
45132203;DA;
45132194;DA;
42527082;DA;
3252241;DA;
34773154;DA;
10133811;DA;
8936843;DA;
10384623;DA;
1539567;DA;
30633511;DA;
8550169;DA;
36067548;DA;
27972581;DA;
27972563;DA;
9781574;DA;
37079062;DA;
33365932;DA;
31385169;DA;
3353100;DA;
10133810;DA;
10133808;DA;
2783664;DA;
10309082;DA;
42527086;DA;
42526756;DA;
41301878;DA;
9784200;DA;
41301867;DA;
10109109;DA;
36067547;DA;
42526772;DA;
1721661;DA;
10133805;DA;
10133812;DA;
10133806;DA;
10133807;DA;
10133809;DA;
4433487;DA;
10309083;DA;
37079058;DA;
42526779;DA;
42526758;DA;
42526775;DA;
42526762;DA;
9785075;DA;
9029934;DA;
31385166;DA;
10110010;DA;
42526764;DA;
41301921;DA;
37079066;DA;
10110754;DA;
41301875;DA;
42526781;DA;
43859354;DA;
8550059;DA;
31385151;DA;
31385231;DA;
8833732;DA;
31385167;DA;
9786533;DA;
37079059;DA;
27972589;DA;
27972576;DA;
2891039;DA;
39199084;DA;
39014151;DA;
10288927;DA;
39199039;DA;
39014148;DA;
27972567;DA;
43742713;DA;
10111714;DA;
39199080;DA;
27972572;DA;
42526760;DA;
41301876;DA;
42526777;DA;
27972583;DA;
43742681;DA;
27972601;DA;
10113365;DA;
37079063;DA;
41301872;DA;
41301880;DA;
8943510;DA;
31385152;DA;
41301877;DA;
41301923;DA;
37079065;DA;
35224217;DA;
4799706;DA;
10401736;DA;
8962118;DA;
31385171;DA;
31385172;DA;
3331662;DA;
10401737;DA;
3791337;DA;
36436254;DA;
36721711;DA;
36721686;DA;
28404495;DA;
46538306;DA;
36721676;DA;
36721685;DA;
36721683;DA;
36721698;DA;
36721710;DA;
30131247;DA;
36721677;DA;
36721696;DA;
36721674;DA;
36721684;DA;
36721682;DA;
36721697;DA;
36721678;DA;
36721680;DA;
36721695;DA;
36721675;DA;
5354746;DA;
9414158;DA;
9414161;DA;
11265214;DA;
1741752;DA;
1860845;DA;
1805231;DA;
1805180;DA;
1860834;DA;
1860820;DA;
1805255;DA;
31642713;DA;
31642717;DA;
38563960;DA;
38563968;DA;
4880085;DA;
9237316;DA;
9241189;DA;
31936041;DA;
10102917;DA;
10103015;DA;
10109059;DA;
1891430;DA;
4857365;DA;
1840780;DA;
4880086;DA;
10494546;DA;
1840782;DA;
9237309;DA;
43632884;DA;
5113494;DA;
4503982;DA;
2962600;DA;
9379080;DA;
676210;DA;
1538798;DA;
37800208;DA;
37800209;DA;
37800207;DA;
37800205;DA;
2890992;DA;
1840559;DA;
2891781;DA;
2891786;DA;
4921201;DA;
9296857;DA;
9730174;DA;
8960014;DA;
2891635;DA;
2891636;DA;
2891639;DA;
2891640;DA;
1840969;DA;
39014150;DA;
31160534;DA;
1840585;DA;
1840586;DA;
1840916;DA;
1840917;DA;
1840918;DA;
1840919;DA;
9939002;DA;
35123579;DA;
35123584;DA;
35123578;DA;
8612890;DA;
35123580;DA;
35123586;DA;
35123587;DA;
8609334;DA;
35123577;DA;
1722456;DA;
2015636;DA;
2015663;DA;
3793623;DA;
3793687;DA;
35123572;DA;
35123573;DA;
35123574;DA;
35123575;DA;
35123576;DA;
1722197;DA;
11069714;DA;
1722212;DA;
9969028;DA;
8671116;DA;
1840878;DA;
4562548;DA;
4892220;DA;
4896687;DA;
9296858;DA;
28323623;DA;
28404496;DA;
28404500;DA;
28404510;DA;
4892006;DA;
9296861;DA;
28162114;DA;
31120787;DA;
9182473;DA;
9295469;DA;
1840709;DA;
1840733;DA;
1722577;DA;
1840873;DA;
8826393;DA;
1539531;DA;
9295511;DA;
9295475;DA;
9295474;DA;
9295476;DA;
9295505;DA;
28162113;DA;
28162115;DA;
9295470;DA;
9295484;DA;
9295506;DA;
1539530;DA;
9295477;DA;
978580;DA;
9342649;DA;
896528;DA;
946809;DA;
3953855;DA;
1378766;DA;
9302286;DA;
9302288;DA;
9182443;DA;
9182445;DA;
3352406;DA;
32464737;DA;
35123582;DA;
32464734;DA;
32464739;DA;
35123581;DA;
28206364;DA;
32464742;DA;
28206356;DA;
2015687;DA;
32126637;DA;
32126638;DA;
3352233;DA;
11280851;DA;
32126640;DA;
28162118;DA;
32126617;DA;
2015476;DA;
4659949;DA;
9068170;DA;
24977012;DA;
2015502;DA;
4613072;DA;
4613346;DA;
4631697;DA;
4637046;DA;
4662596;DA;
9939012;DA;
30031384;DA;
28162123;DA;
9059023;DA;
4321663;DA;
9068168;DA;
9068169;DA;
2015650;DA;
9059024;DA;
28516019;DA;
28894444;DA;
2891797;DA;
9058975;DA;
32126612;DA;
28162121;DA;
28162124;DA;
4265100;DA;
4330932;DA;
5322070;DA;
9946558;DA;
9967608;DA;
9972699;DA;
9973487;DA;
9025656;DA;
1216510;DA;
1695752;DA;
2015522;DA;
628185;DA;
2891800;DA;
2891801;DA;
3791447;DA;
1020622;DA;
3791438;DA;
32126641;DA;
32126618;DA;
4632308;DA;
11280822;DA;
2783630;DA;
4605478;DA;
11280823;DA;
